id,group_id,sender_id,content,message_type,reply_to,created_at,updated_at,note_id
6b1479c9-0445-45aa-a096-2f7d63891a31,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,wagwan,text,,2025-09-30 22:50:22.786287+00,,
6c003548-4035-46a9-b5e0-a656bc40e7ff,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,hey guys,text,,2025-10-25 00:38:18.14098+00,,
73248619-8ffc-4a63-9e91-fa8273459c85,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,thats nice,text,24bc9e28-5b48-4397-9d65-0c2365cf2f92,2025-09-29 01:01:02.938859+00,,
73a90629-60e8-45c3-8419-6199ba5a96ca,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ec45ed0d-4b29-4fab-aced-8ea48094ef01,,text,,2025-10-25 00:16:31.624429+00,,f84dfdbc-42e7-4e81-8662-faefbd6ea36f
7454ada8-0733-4c93-a8db-353bd86890ce,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Sent,text,aeab0a4c-fa65-4e5e-b911-ca40726d6296,2025-10-01 10:30:59.098393+00,,
7cf1a3b0-2b36-4d22-8488-577c50597dd7,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Probably my local server and chrome dev server eating my ram,text,233e0d13-8af7-4491-8ab3-7f343b3b4084,2025-09-30 23:38:41.406225+00,,
7d173a03-e864-4795-9dd0-582d180e39be,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,Guy!! Na you AY suppose give that booking chat issue na,text,,2025-09-30 23:42:00.824678+00,,
7e9e34bb-3b38-40b7-8c97-a06ae7c34338,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Check this out,text,,2025-09-30 22:11:01.471046+00,,e4f13475-59d2-4bfb-902f-25964999172e
85bd313f-a61c-486c-9879-5e29f76000ff,9efff110-a766-472d-91e4-4df704adebe8,460c8436-aa48-438d-ad41-0e36f89e9b9e,Sup,text,,2025-10-29 20:22:17.240965+00,,
8e13ca91-02e4-45f9-ba3b-19031bbe45ca,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,"This chatting feature, I dey feel am like mahdd!!",text,b87f38e1-ae7b-423f-ab97-4193553f331b,2025-09-30 23:41:18.492301+00,,
